"Carimbo de data/hora","Você costuma comprar regularmente neste estabelecimento?","Como você avalia a variedade de produtos disponíveis?  ","Como você avalia a qualidade dos produtos oferecidos?","Como você avalia os preços dos nossos produtos?","Como você avalia a limpeza do nosso estabelecimento?","Como você avalia o atendimento dos nossos funcionários?"
"2024/09/11 4:12:13 PM GMT-3","Ocasionalmente","Bom","Bom","Bom","Muito bom","Muito bom"
"2024/09/11 4:37:02 PM GMT-3","Sim","Muito bom","Muito bom","Bom","Muito bom","Muito bom"
"2024/09/11 4:39:05 PM GMT-3","Sim","Muito bom","Muito bom","Muito bom","Muito bom","Muito bom"
"2024/09/11 5:09:15 PM GMT-3","Ocasionalmente","Bom","Bom","Bom","Muito bom","Muito bom"
"2024/09/11 5:15:47 PM GMT-3","Sim","Muito bom","Muito bom","Bom","Muito bom","Muito bom"
"2024/09/11 5:18:43 PM GMT-3","Sim","Muito bom","Muito bom","Muito bom","Muito bom","Muito bom"
"2024/09/11 5:22:55 PM GMT-3","Ocasionalmente","Bom","Bom","Bom","Muito bom","Muito bom"
"2024/09/11 5:27:06 PM GMT-3","Sim","Muito bom","Muito bom","Bom","Muito bom","Muito bom"
"2024/09/11 5:33:43 PM GMT-3","Sim","Muito bom","Muito bom","Muito bom","Muito bom","Muito bom"
"2024/09/11 5:42:35 PM GMT-3","Ocasionalmente","Bom","Bom","Bom","Muito bom","Muito bom"
"2024/09/11 6:02:41 PM GMT-3","Sim","Muito bom","Muito bom","Bom","Muito bom","Muito bom"
"2024/09/11 6:09:03 PM GMT-3","Sim","Muito bom","Muito bom","Muito bom","Muito bom","Muito bom"
"2024/09/11 6:12:25 PM GMT-3","Ocasionalmente","Bom","Bom","Bom","Muito bom","Muito bom"
"2024/09/11 6:34:17 PM GMT-3","Sim","Muito bom","Muito bom","Bom","Muito bom","Muito bom"
"2024/09/11 6:39:33 PM GMT-3","Sim","Muito bom","Muito bom","Muito bom","Muito bom","Muito bom"